"No.","Time","Source","Destination","Protocol","Length","Info"
"24","0.336880418","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=6446 Win=31872 Len=0 TSval=1610293796 TSecr=2726633628"
"25","0.426209172","94.130.237.200","100.94.78.223","TLSv1.3","5858","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"26","0.426231287","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=12238 Win=31872 Len=0 TSval=1610293885 TSecr=2726633719"
"27","0.426640967","94.130.237.200","100.94.78.223","TLSv1.3","2298","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"28","0.426668322","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=14470 Win=31872 Len=0 TSval=1610293886 TSecr=2726633719"
"29","0.485136995","94.130.237.200","100.94.78.223","TLSv1.3","245","Application Data"
"30","0.485326496","94.130.237.200","100.94.78.223","TLSv1.3","315","Application Data"
"31","0.485357762","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=14898 Win=31872 Len=0 TSval=1610293944 TSecr=2726633778"
"32","0.485539526","94.130.237.200","100.94.78.223","TLSv1.3","499","Application Data"
"33","0.485678120","94.130.237.200","100.94.78.223","TLSv1.3","323","Application Data"
"34","0.485696057","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=15588 Win=31872 Len=0 TSval=1610293945 TSecr=2726633778"
"35","0.485718425","94.130.237.200","100.94.78.223","TLSv1.3","202","Application Data"
"36","0.485923867","94.130.237.200","100.94.78.223","TLSv1.3","343","Application Data"
"37","0.485942146","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=16001 Win=31872 Len=0 TSval=1610293945 TSecr=2726633778"
"38","0.486055384","94.130.237.200","100.94.78.223","TLSv1.3","404","Application Data"
"39","0.486276805","94.130.237.200","100.94.78.223","TLSv1.3","330","Application Data"
"40","0.486290106","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=16603 Win=31872 Len=0 TSval=1610293945 TSecr=2726633779"
"41","0.486361357","94.130.237.200","100.94.78.223","TLSv1.3","258","Application Data"
"42","0.486400378","94.130.237.200","100.94.78.223","TLSv1.3","109","Application Data"
"43","0.486400401","94.130.237.200","100.94.78.223","TLSv1.3","112","Application Data"
"44","0.486412711","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=16884 Win=31872 Len=0 TSval=1610293945 TSecr=2726633779"
"45","0.486561056","94.130.237.200","100.94.78.223","TLSv1.3","235","Application Data"
"46","0.486695415","94.130.237.200","100.94.78.223","TLSv1.3","256","Application Data"
"47","0.486714532","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=17243 Win=31872 Len=0 TSval=1610293946 TSecr=2726633779"
