Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
128,218519,0.023418380118110104,1.9055547259999912,2.1999994714860804e-08,1707.1796875,7206,66,66,MyAnimeList
86,158236,0.06054904854117654,2.020521042999974,3.870000000461005e-06,1839.953488372093,7206,66,66,MyAnimeList
79,135355,0.08880653246153805,4.86999388800001,2.9000034373893868e-08,1713.3544303797469,7206,66,66,MyAnimeList
161,302625,0.02441357397499999,1.777930495000021,2.500001983207767e-08,1879.6583850931677,8634,66,66,MyAnimeList
92,153597,0.041037601989010776,1.791464134000023,7.799997092661215e-08,1669.5326086956522,8634,66,66,MyAnimeList
59,99415,0.046667246637931495,2.00084013999998,1.3999965631228406e-08,1685.0,7206,66,66,MyAnimeList
143,396753,0.021700678598591594,2.2981278199999906,4.9000050239556003e-08,2774.4965034965035,8634,66,7206,MyAnimeList
47,103091,0.05423380682608665,1.8137841390000062,7.036999988940806e-06,2193.425531914894,8634,66,66,MyAnimeList
45,83578,0.056671810454545835,1.6583601219999764,6.900000926179928e-08,1857.2888888888888,10062,66,66,MyAnimeList
82,96448,0.02980864856790139,1.6109624890000305,1.8063000027268572e-05,1176.1951219512196,2922,66,66,MyAnimeList
245,281849,0.019107590286885207,2.2272396679999815,2.101999996284576e-06,1150.404081632653,2922,66,66,MyAnimeList
47,42600,0.047713473630435405,1.661655092999979,4.3519999621821626e-06,906.3829787234042,2922,66,66,MyAnimeList
57,46203,0.04197439400000137,1.52575557199998,2.1399999923232826e-06,810.578947368421,2922,66,66,MyAnimeList
302,414638,0.009178153136212588,1.8817546959999163,3.669999955491221e-06,1372.9735099337747,4350,66,66,MyAnimeList
247,420221,0.02337765184959347,4.059449945000097,3.007000032084761e-06,1701.2995951417004,4350,66,66,MyAnimeList
7,2417,0.04810873783333136,0.2694684990000269,6.0837999967588985e-05,345.2857142857143,1879,66,66,MyAnimeList
7,2268,0.06436024183333681,0.3669396279999546,5.5456000040976505e-05,324.0,1730,66,66,MyAnimeList
128,183026,0.02406263969291422,2.045863632000078,1.639999709368567e-07,1429.890625,5778,66,66,MyAnimeList
59,66681,0.04111591432758657,1.752241126000058,2.100000529026147e-08,1130.1864406779662,5778,66,86,MyAnimeList
52,66299,0.13682725880392121,4.856629567000027,5.699996563635068e-08,1274.9807692307693,5778,66,66,MyAnimeList
48,45959,0.047427280063830714,1.5965313340000193,2.3850000161473872e-06,957.4791666666666,5778,66,66,MyAnimeList
86,106566,0.0366864359529419,1.863528341999995,4.991999958292581e-06,1239.139534883721,4350,66,66,MyAnimeList
76,88134,0.037263687133333105,2.0202782919999436,8.715999911146355e-06,1159.657894736842,2922,66,66,MyAnimeList
73,103141,0.03559698420833336,1.8819911299999603,3.934000005756388e-06,1412.890410958904,4350,66,66,MyAnimeList
64,98062,0.038309351111111244,1.7673867409999957,3.0960000003688037e-06,1532.21875,5778,66,66,MyAnimeList
446,1036942,0.00931901812134839,3.062416595000059,3.599996034608921e-08,2324.982062780269,7206,66,66,MyAnimeList
50,82559,0.052369755102040005,1.8406367530000125,2.5640000558269094e-06,1651.18,8634,66,66,MyAnimeList
126,341756,0.02163349618400025,1.9494045090000327,1.5000068742665462e-08,2712.3492063492063,8634,66,7206,MyAnimeList
488,1741507,0.01423768814784401,3.218362254999988,2.70000555246952e-08,3568.6618852459014,15774,66,66,MyAnimeList
157,923639,0.030441810314102487,3.124184076000006,2.0000015865662135e-08,5883.050955414013,18630,66,66,MyAnimeList
136,632086,0.019627043533333326,1.0155241700000488,2.3999973564059474e-08,4647.691176470588,21486,66,66,MyAnimeList
177,1187944,0.01827611267613608,1.5554647569999815,2.9000034373893868e-08,6711.54802259887,21486,66,66,MyAnimeList
66,397957,0.041248591969229684,2.1201238050000484,5.100002908875467e-08,6029.651515151515,21486,66,78,MyAnimeList
18,4997,0.029267759823529988,0.20784675200002312,4.25299992912187e-06,277.6111111111111,1793,66,66,MyAnimeList
