Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
21,13104,0.01885092064999867,0.15158706199997596,2.500001983207767e-08,624.0,5840,66,66,AniDB
22,8349,0.016202105761906404,0.10531753600002958,1.7999980173044605e-08,379.5,3174,66,66,AniDB
17,11129,0.014748463687499935,0.1298248150000063,1.899996959764394e-08,654.6470588235294,4410,66,66,AniDB
34,39046,0.020589952545454555,0.10563043399997696,9.300003966927761e-08,1148.4117647058824,8754,66,66,AniDB
30,12071,0.00956432755172359,0.1052438529999904,1.1829999948531622e-06,402.3666666666667,2962,66,66,AniDB
21,11515,0.020412442649998752,0.14024852099998952,1.7999980173044605e-08,548.3333333333334,4410,66,66,AniDB
29,10917,0.015555331607142111,0.10522241699999313,1.899996959764394e-08,376.44827586206895,2962,66,66,AniDB
28,7364,0.643679792259259,16.994087027000035,1.90000264410628e-08,263.0,2208,66,66,AniDB
35,12577,0.012238228764707227,0.11805056999997987,2.1999994714860804e-08,359.34285714285716,2962,66,66,AniDB
28,14651,0.010745891592593867,0.10512456099996825,1.9999959022243274e-08,523.25,2962,66,66,AniDB
22,14598,0.012829644333334857,0.10522638600002665,1.7999980173044605e-08,663.5454545454545,4657,66,66,AniDB
29,16667,0.01168383328571565,0.10527062700003853,1.6000001323845936e-08,574.7241379310345,2962,66,66,AniDB
35,22074,0.10999974349999941,3.360786938999979,1.899996959764394e-08,630.6857142857143,5858,66,66,AniDB
23,13308,0.012363146090910443,0.10514560100000381,1.7150000019228173e-05,578.6086956521739,5858,66,66,AniDB
33,23966,0.025728263249998662,0.6106405119999749,2.1999994714860804e-08,726.2424242424242,5858,66,66,AniDB
32,18314,0.011664844741937207,0.10509361700002273,2.1330000095076684e-06,572.3125,4410,66,66,AniDB
52,54233,0.011160873235293784,0.13195368700002064,1.90000264410628e-08,1042.9423076923076,7306,66,66,AniDB
83,60225,0.14891509660975613,6.994265532999975,2.100000529026147e-08,725.6024096385543,7306,66,66,AniDB
29,12943,0.009701235249999789,0.1055059539999661,3.2999992072291207e-08,446.3103448275862,5601,66,66,AniDB
39,31562,0.009936622131578443,0.10515853499998684,2.3999973564059474e-08,809.2820512820513,5858,66,66,AniDB
28,15182,0.009591133925924724,0.14637956399997165,2.0269999936317618e-06,542.2142857142857,4532,66,66,AniDB
59,35972,0.08068549881034548,4.18921910399996,1.8000037016463466e-08,609.6949152542373,2962,66,66,AniDB
66,45899,0.215177483553846,13.164469090000011,1.499995505582774e-08,695.439393939394,5858,66,66,AniDB
34,17168,0.008587762515150409,0.10509212499999876,1.50000118992466e-08,504.94117647058823,2962,66,66,AniDB
30,15103,0.013070805413794209,0.10513150500003121,1.8000037016463466e-08,503.43333333333334,4410,66,66,AniDB
