Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
161,1039744,0.001429927612500137,0.05382349499996053,1.8000037016463466e-08,6458.037267080746,23234,66,66,AniList
301,1970341,0.0009047943266667365,0.05348797999999988,1.499995505582774e-08,6545.983388704319,23234,66,86,AniList
213,1545479,0.0012417086415093485,0.05725022699999727,1.9999959022243274e-08,7255.769953051643,21786,66,21786,AniList
187,1316136,0.0011924947419355634,0.0583567700000458,2.100000529026147e-08,7038.1604278074865,26130,66,66,AniList
183,1106427,0.010174847686813364,1.606980204000024,1.6000001323845936e-08,6046.049180327869,30474,66,66,AniList
710,4525940,0.0009119588702398145,0.06784119100001362,1.6000001323845936e-08,6374.56338028169,30474,66,66,AniList
32,165383,0.0014188473870974357,0.015054141999996773,1.6000001323845936e-08,5168.21875,20338,66,66,AniList
1125,7224531,0.0006831902927046435,0.23029938600001287,1.4000022474647267e-08,6421.805333333334,26130,66,94,AniList
912,5973247,0.007071984906695935,5.381075303999978,1.3999965631228406e-08,6549.612938596491,30474,66,66,AniList
710,3838315,0.0010448290564175184,0.10092982000003303,1.50000118992466e-08,5406.077464788732,27578,66,66,AniList
270,1475608,0.0008734243605949966,0.014886733999958324,1.7999980173044605e-08,5465.214814814814,21786,66,78,AniList
284,1570757,0.0007434122897527309,0.014936446999968211,1.50000118992466e-08,5530.834507042254,21786,66,66,AniList
291,1646954,0.0008536551862068242,0.04587333000000626,1.50000118992466e-08,5659.6357388316155,20338,66,66,AniList
266,1546707,0.011136219822641501,2.5785063750000177,1.4000022474647267e-08,5814.687969924812,21786,66,66,AniList
30,14744,0.009473375103449018,0.08334009899999728,1.5300003042284516e-07,491.46666666666664,2426,66,66,AniList
41,17859,0.02914962437500037,0.6422782369999709,1.8000037016463466e-08,435.5853658536585,2426,66,66,AniList
20,9493,0.0056985263157894464,0.06493091999999479,1.699999074844527e-08,474.65,2750,66,66,AniList
21,8220,0.0062415214999987255,0.0413305840000362,1.7999980173044605e-08,391.42857142857144,2750,66,66,AniList
13,3320,0.010915566333333496,0.05511877399999321,3.343000003042107e-06,255.3846153846154,1421,66,66,AniList
1450,2455129,0.001312769142857143,0.8215911240000082,1.7999980173044605e-08,1693.1924137931035,14546,66,2962,AniList
